1_to_5  1_to_5_desana_not_available 2019
6  https://www.youtube.com/watch?v=zoirMbXaI30 2019-07-28 
7  https://www.youtube.com/watch?v=OOt53L0cQSM 2019-08-04 
8  https://www.youtube.com/watch?v=D5-AKpQXOH4 2019-08-11 
9  https://www.youtube.com/watch?v=U3tsS0B2808 2019-08-18 
10 https://www.youtube.com/watch?v=EoLWJ8xs3Ow 2019-08-25 අනිච්ච හා අනිච්ඡ පැනවීමට , ධර්ම අර්ථය 
11 https://www.youtube.com/watch?v=fUWEMR3i3rc 2019-09-01 
12 https://www.youtube.com/watch?v=C8KQHfSU3HE 2019-09-08 
13 https://www.youtube.com/watch?v=gJH2ZJWOETU 2019-09-15 
14 https://www.youtube.com/watch?v=vMt90KMSJTY 2019-09-22 
15 https://www.youtube.com/watch?v=F2lGDDbLPjg 2019-09-29 
16 https://www.youtube.com/watch?v=xgWG4YsIuzA 2019-10-06 
17 https://www.youtube.com/watch?v=ikgXBFB0UWk 2019-10-20 
18 https://www.youtube.com/watch?v=mRirTIYXtaY 2019-10-27 
19 https://www.youtube.com/watch?v=VjDVQPxVodo 2019-11-03 
20 https://www.youtube.com/watch?v=qhavR8dKMV8 2019-11-10 
21 https://www.youtube.com/watch?v=3dvX0AK6wNQ 2019-11-24 ද්විත්ව නිරෝධය 
22 https://www.youtube.com/watch?v=o5rQvZcnnp0 2019-12-01 
23 https://www.youtube.com/watch?v=GuW3OEirmiI 2019-12-15 
24 https://www.youtube.com/watch?v=_I-PiColnyE 2019-12-22 
ආවර්ජනා_1  https://www.youtube.com/watch?v=1WA7i-VaHKM 2019-12-29 
ආවර්ජනා_2  https://www.youtube.com/watch?v=18RWVeGgEBY 2019-12-29 
ආවර්ජනා_3  https://www.youtube.com/watch?v=PEdYQCoDboA 2019-12-29 
ආවර්ජනා_4  https://www.youtube.com/watch?v=89eH_vX3vF4 2019-12-29 
ආවර්ජනා_5  https://www.youtube.com/watch?v=lVFioy2Du4o 2019-12-29 
ආවර්ජනා_6  https://www.youtube.com/watch?v=m3vPuuz7yFA 2019-12-29 
ආවර්ජනා_7  https://www.youtube.com/watch?v=LNLOvomx-iU 2019-12-29 
ආවර්ජනා_8  https://www.youtube.com/watch?v=5aqEwGaOnBg 2019-12-29 
ආවර්ජනා_9  https://www.youtube.com/watch?v=DAjvNQiReYI 2019-12-29 
ආවර්ජනා_10 https://www.youtube.com/watch?v=krDoiHi8CF4 2019-12-29
